,mean reward,Fail Probability,method
777,16890,70,Supervisory
778,158030,70,Supervisory
779,29110,70,Supervisory
780,67000,70,Supervisory
781,99040,70,Supervisory
782,119100,70,Supervisory
783,148130,70,Supervisory
784,169080,70,Supervisory
785,107960,70,Supervisory
786,149150,70,Supervisory
787,9040,70,Supervisory
788,99100,70,Supervisory
789,58070,70,Supervisory
790,9030,70,Supervisory
791,99100,70,Supervisory
792,99180,70,Supervisory
793,48010,70,Supervisory
794,169050,70,Supervisory
795,99130,70,Supervisory
796,19100,70,Supervisory
797,49000,70,Supervisory
798,109060,70,Supervisory
799,78050,70,Supervisory
800,99100,80,Supervisory
801,167030,80,Supervisory
802,119180,80,Supervisory
803,159220,80,Supervisory
804,59070,80,Supervisory
805,108050,80,Supervisory
806,59060,80,Supervisory
807,158010,80,Supervisory
808,108960,80,Supervisory
809,69000,80,Supervisory
810,8020,80,Supervisory
811,118060,80,Supervisory
812,6870,80,Supervisory
813,79040,80,Supervisory
814,106970,80,Supervisory
815,48970,80,Supervisory
816,128030,80,Supervisory
817,99080,80,Supervisory
818,169170,80,Supervisory
819,107970,80,Supervisory
820,46980,80,Supervisory
821,44910,80,Supervisory
822,47970,80,Supervisory
823,117960,80,Supervisory
824,218070,80,Supervisory
825,68050,80,Supervisory
826,79020,80,Supervisory
827,76880,80,Supervisory
828,96930,80,Supervisory
829,103860,80,Supervisory
830,79060,80,Supervisory
831,108010,80,Supervisory
832,198210,80,Supervisory
833,7890,80,Supervisory
834,109040,80,Supervisory
835,118040,80,Supervisory
836,9080,80,Supervisory
837,63850,80,Supervisory
838,7950,80,Supervisory
839,147070,80,Supervisory
840,48050,80,Supervisory
841,46990,80,Supervisory
842,89040,80,Supervisory
843,59050,80,Supervisory
844,106940,80,Supervisory
845,117950,80,Supervisory
846,149070,80,Supervisory
847,57970,80,Supervisory
848,219100,80,Supervisory
849,148080,80,Supervisory
850,48010,90,Supervisory
851,-4040,90,Supervisory
852,97990,90,Supervisory
853,18040,90,Supervisory
854,19070,90,Supervisory
855,49040,90,Supervisory
856,69110,90,Supervisory
857,159180,90,Supervisory
858,98050,90,Supervisory
859,107090,90,Supervisory
860,5920,90,Supervisory
861,57020,90,Supervisory
862,6950,90,Supervisory
863,-33010,90,Supervisory
864,98040,90,Supervisory
865,5930,90,Supervisory
866,-1010,90,Supervisory
867,8970,90,Supervisory
868,97010,90,Supervisory
869,9100,90,Supervisory
870,98130,90,Supervisory
871,6010,90,Supervisory
872,59150,90,Supervisory
873,-4140,90,Supervisory
874,159100,90,Supervisory
875,49000,90,Supervisory
876,95950,90,Supervisory
877,64880,90,Supervisory
878,5970,90,Supervisory
879,19110,90,Supervisory
880,7970,90,Supervisory
881,97000,90,Supervisory
882,108050,90,Supervisory
883,98040,90,Supervisory
884,49070,90,Supervisory
885,109140,90,Supervisory
886,99070,90,Supervisory
887,7980,90,Supervisory
888,7990,90,Supervisory
889,109120,90,Supervisory
890,46950,90,Supervisory
891,49000,90,Supervisory
892,58060,90,Supervisory
893,15930,90,Supervisory
894,48920,90,Supervisory
895,48010,90,Supervisory
896,47970,90,Supervisory
897,99010,90,Supervisory
898,98030,90,Supervisory
899,148130,90,Supervisory
