,mean reward,Rework Cost,method
680,169010,5000,Supervisory
681,139100,5000,Supervisory
682,248920,5000,Supervisory
683,169140,5000,Supervisory
684,109200,5000,Supervisory
685,239060,5000,Supervisory
686,179060,5000,Supervisory
687,209070,5000,Supervisory
688,69100,5000,Supervisory
689,229040,5000,Supervisory
690,219040,5000,Supervisory
691,169120,5000,Supervisory
692,159100,5000,Supervisory
693,113990,5000,Supervisory
694,184020,5000,Supervisory
695,214070,5000,Supervisory
696,108990,5000,Supervisory
697,204120,5000,Supervisory
698,178980,5000,Supervisory
699,159180,5000,Supervisory
700,76980,6000,Supervisory
701,103020,6000,Supervisory
702,179070,6000,Supervisory
703,163040,6000,Supervisory
704,163010,6000,Supervisory
705,218970,6000,Supervisory
706,183020,6000,Supervisory
707,-20960,6000,Supervisory
708,209130,6000,Supervisory
709,229030,6000,Supervisory
710,219090,6000,Supervisory
711,226890,6000,Supervisory
712,179030,6000,Supervisory
713,229020,6000,Supervisory
714,128950,6000,Supervisory
715,109120,6000,Supervisory
716,219060,6000,Supervisory
717,169100,6000,Supervisory
718,229040,6000,Supervisory
719,209150,6000,Supervisory
720,29130,6000,Supervisory
721,219100,6000,Supervisory
722,169030,6000,Supervisory
723,173070,6000,Supervisory
724,179070,6000,Supervisory
725,222990,6000,Supervisory
726,198980,6000,Supervisory
727,163010,6000,Supervisory
728,109000,6000,Supervisory
729,8990,6000,Supervisory
730,163100,6000,Supervisory
731,169010,6000,Supervisory
732,106980,6000,Supervisory
733,93090,6000,Supervisory
734,123000,6000,Supervisory
735,99020,6000,Supervisory
736,169060,6000,Supervisory
737,182970,6000,Supervisory
738,169120,6000,Supervisory
739,219100,6000,Supervisory
740,29110,6000,Supervisory
741,81030,6000,Supervisory
742,116970,6000,Supervisory
743,229100,6000,Supervisory
744,222970,6000,Supervisory
745,232910,6000,Supervisory
746,79100,6000,Supervisory
747,226840,6000,Supervisory
748,169060,6000,Supervisory
749,219090,6000,Supervisory
750,81970,7000,Supervisory
751,159080,7000,Supervisory
752,129070,7000,Supervisory
753,72040,7000,Supervisory
754,179110,7000,Supervisory
755,188960,7000,Supervisory
756,95100,7000,Supervisory
757,189040,7000,Supervisory
758,119140,7000,Supervisory
759,144930,7000,Supervisory
760,169090,7000,Supervisory
761,109060,7000,Supervisory
762,209130,7000,Supervisory
763,121990,7000,Supervisory
764,118960,7000,Supervisory
765,128940,7000,Supervisory
766,189030,7000,Supervisory
767,121970,7000,Supervisory
768,219100,7000,Supervisory
769,219140,7000,Supervisory
770,159090,7000,Supervisory
771,169050,7000,Supervisory
772,111990,7000,Supervisory
773,79120,7000,Supervisory
774,79050,7000,Supervisory
775,38980,7000,Supervisory
776,68960,7000,Supervisory
777,159070,7000,Supervisory
778,212070,7000,Supervisory
779,125010,7000,Supervisory
780,159060,7000,Supervisory
781,181940,7000,Supervisory
782,149130,7000,Supervisory
783,219120,7000,Supervisory
784,209090,7000,Supervisory
785,162120,7000,Supervisory
786,112110,7000,Supervisory
787,198920,7000,Supervisory
788,108990,7000,Supervisory
789,169020,7000,Supervisory
790,112060,7000,Supervisory
791,149180,7000,Supervisory
792,111840,7000,Supervisory
793,229010,7000,Supervisory
794,179110,7000,Supervisory
795,219090,7000,Supervisory
796,99000,7000,Supervisory
797,69020,7000,Supervisory
798,204990,7000,Supervisory
799,172070,7000,Supervisory
800,100950,8000,Supervisory
801,128960,8000,Supervisory
802,130990,8000,Supervisory
803,219070,8000,Supervisory
804,210990,8000,Supervisory
805,139060,8000,Supervisory
806,158980,8000,Supervisory
807,228990,8000,Supervisory
808,129020,8000,Supervisory
809,152950,8000,Supervisory
810,111070,8000,Supervisory
811,109010,8000,Supervisory
812,228990,8000,Supervisory
813,240860,8000,Supervisory
814,159100,8000,Supervisory
815,170940,8000,Supervisory
816,228900,8000,Supervisory
817,221040,8000,Supervisory
818,119060,8000,Supervisory
819,161010,8000,Supervisory
820,198990,8000,Supervisory
821,19100,8000,Supervisory
822,149160,8000,Supervisory
823,199020,8000,Supervisory
824,69040,8000,Supervisory
825,219090,8000,Supervisory
826,240900,8000,Supervisory
827,219040,8000,Supervisory
828,161130,8000,Supervisory
829,219020,8000,Supervisory
830,178940,8000,Supervisory
831,209230,8000,Supervisory
832,198870,8000,Supervisory
